,Reviews
0,"[When Avengers: Age of Ultron was announced, the biggest question fans would have had is, 'How does one top The Avengers? How does one even match something as insanely fun as that, never mind surpassing it?' The immediate pressure on writer-director Joss Whedon, of course, would be - how does he begin this next film, after that gargantuan extended climactic battle set in New York. Hardly any film has landed in theatres with the kind of expectations loaded onto it, as Age of Ultron has. Whedon, though, doesn't merely beat the expectations - he subverts them, does his own thing, and  trumps it by creating a film that goes past the first film in just how grand and stunning it is. He does this from the get go, with a jaw-dropping opening sequence featuring all the Avengers appearing one after the other in a single take ultra-action shot, choreographed to gobsmacking perfection. From there, the ride only gets crazier.The elements that made the first film fun are all there - the all-star lineup; beautifully etched characters that bounce off each other through rib-ticklingly written snark masquerading as dialogue; the push-pull magnetism of these characters stretching in every direction to create a harmony between what they do and what they say; and of course, outrageous action set pieces that keep you hooked every second. Whedon quite simply pulls off a bigger, more complex film that doesn't only broaden its scale, but which also travels deeper into the characters and opens them up from the inside.You see, this time they have a different adversary to contend with, when a brainchild of tech genius Tony Stark (or Iron Man, of course) that was meant to save the world becomes sentient, intelligent, and decides that the world is safest without the Avengers in it. Ultron comes to life, and the Avengers have to deal with an enemy born on the inside. To make matters harder, Quicksilver and the Scarlet Witch enter the fray, as they bring with them powers that seem the Avengers are no match for.The plot of the film is rather basic - a bad guy ascends and becomes increasingly powerful, until there is a big climactic faceoff between him and the ones who want to save the world from him. In that sense, those expecting to be blown away by 'story', may end up disappointed. Whedon's genius really lies in how he manages to make such a hugely mounted film an intimate experience as well. The emotions the film plays with, the deep dark fears that pervade even the best of hearts, the element of sacrifice, of choosing to be a hero because you have the ability that others don't, and so you also have the responsibilities that others don't - these are all primal and elemental. Observing how he weaves these with this set of characters is a true joy to watch.So the Hulk and Natasha Romanoff have an interesting dynamic going on between them, even as Iron Man and Captain America haven't ceased taking jibes at each other. Things get even more interesting as the Avengers deal with the twins Quicksilver and Scarlet Witch, particularly as the latter has the ability to play tricks on their minds. It may not look it, but Age of Ultron is a dark film. Dolled up in the Marvel glitz, it never seems to slip into DC's brooding Nolan-esque interpretations of a superhero (which first enthralled audiences, and now seems to draw their ire). No, Age of Ultron is very much a Marvel film, with all their staple ingredients, and it fits nicely into what has been seen so far in the Marvel cinematic universe, and what is coming up from them. In the Marvel cinematic universe, the ultimate battle of the Avengers will be with Thanos, who had appeared briefly in the mid-credits scene of the first film. So Age of Ultron is only a pitstop in the larger scheme of things. But Whedon ensures that Age of Ultron is a finite film in itself as well, because even as it sets things up for the next few films, it also has its own ending. When Age of Ultron ends, it feels like something has ended; that things will never be the same after this.This will be Joss Whedon's last film at Marvel for the time being, so he makes sure that it ends on his terms.His framing and cutting are downright impressive. Sample this: Quicksilver, who can run at blinding speeds, is just about to engage in battle. As he preps himself, he reaches for... sports shoes. In a shot that doesn't even last one full second, we see a stack of shoes of a popular global sportswear brand, before he one of picks them up. Aah, product placement, Josh Whedon style. Even the manner in which Whedon looks inside the minds of the Avengers - with expressionist montages cut with mind-boggling panache, is a big departure from stock Marvel films. Rarely has a film managed to keep the sustained pace and energy that Age of Ultron has. Even when it slows down to bring us closer to the characters, you're still continuously bombarded with information (and, of course, delicious humour). In that sense, the film almost has a monotonous graph. It can get a bit too much to handle at times, but that's only because Joss Whedon has under 150 minutes to leave his final imprint on the Marvel films. And boy, does he deliver in style.Age of Ultron is intense, spectacular and supremely fun. I've never subscribed to the theory that films are merely entertainment, but if films have to be entertainment, then Whedon shows the world that this is how it's done.]"
1,"[A non-believer is made to try on religion for size due to social and emotional pressures. Off late we've seen a couple of films that go on to rebuke blind faith and they've done a decent job too. In fact, both PK and OMG have been referenced to in Dharam Sankat Mein. I was bracing up for yet another film along the same lines. While Dharam Sankat Mein is different in the way in which the religious dilemma presents itself, it turns out long-winded, rather instructional and most importantly underwhelming. I am all for subtlety and am not looking for melodrama, but with a premise as this, Dharam Sankat Mein ought to have had a crescendo which is lacking. Our protagonist, Dharam (pun intended and works at multiple levels) is not so much of an atheist as he is a person who doesn't identify with blind faith. He doesn't care too much for the religion he belongs to. Yet, the writer subtly slides in the nature of our society by having him make nasty remarks about another religion. True to his nature, Dharam does become neutral as the situation demands. And I loved how his precarious  situation plays out, where agnostic Dharam ends up having to understand more than one religions.Beyond this basic smartness in the writing though, the film falls limp very soon. The stage is set early on and you are waiting for something to happen, which doesn't. The two opposing directions that Dharam gets pulled into are not convincing enough for a man who is pretty comfortable with who he is. Somehow you can't visualise a person like Dharam submitting to anything meekly. The item numbers and shabby climax don't help either. Also, the film becomes preachy all too often. This indirectly breaks the fourth wall and jolts  you from a common middle class man's uncommon story into the film you are watching. This is despite yet another perfect common man portrayal by Paresh Rawal. Yet another film that he carries broadly on his shoulder. Even so, I appreciate the fact that despite the preachy nature of the film, a different approach was endeavoured. More power to such trials even if not many of us are taken in by them. ]"
2,"[All that glitters is not gold. All that sounds ambitious is not awe-inspiring. All that seems unconventional is not path-breaking. And all is not Chaitanya Tamhane's Court. Brimming with non-conformist aesthetics and peculiar treatment, the film exudes a sublime illustration of cinematic flamboyance. The painstakingly-penned script brilliantly musters varied narrative elements to craft a terrific piece of art. Realistic to the core, Tamhane's visual storytelling transcend linguistic barriers with a dramatic ease. Perhaps not everyone's cup of tea, it's a welcome change nonetheless. While being an eye-opener for our flawed society, it could also be a trend-setter for audiences.A folk singer fearlessly indulges in radical activism against political wrongdoings. A defence lawyer, living a prosperous life, selflessly rallies behind those arrested unlawfully. A public prosecutor dutifully pursues the job to her without worrying about the legitimacy of a case. A judge obliviously relies on obsolete laws rather than the spirit of the law. A widow hopes to earn her living rather than accept charity. This is the world of Court, where the anguish of its characters easily shatters one's thoughts of an ideal world. The case of this activist poet, allegedly charged for abetting the widow's husband to commit suicide, is what binds this world together.Court outdoes routine courtroom dramas to the last bits because of its radical storytelling. Instead of taking sides or being an interpreter, it chooses to be a distant observer. The simplicity with which Tamhane builds his characters and their backstories without uttering a single direct word is quite an achievement. Letting their agonies do all the talking, he paints a stark picture of the widening inequality and the worrying state of freedom of speech. He refuses to be preachy even while laying out the tiniest details - be it the Dalit killings, political propaganda or the plight of blue-collar workers.Since our judgment hinges on cultural and social milieu, Tamhane takes you away from the courtroom to their personal lives. Appearing inconsequential on the face, the lifestyles offer great insight and prove to be a master stroke element in  the plot. A pragmatic approach in unfolding the story stays true to the subject and pays off, despite virtually non-existent drama. The film uses courtroom as a means to lay bare the flaws of Indian society at large rather than ridiculing judicial system alone.With authentic production design, prolonged shots and no background score; Tamhane not only presents you the dull judicial proceedings, but also makes you feel the drabness. Each camera angle and its movement is well designed and keeps you involved as an observer. A striking balance between visual treatment and colour palette harmonizes the realism, making the film powerful. The repetitive use of bluish hues, even in warmer tones, creates an air of sombreness and monotony - which is perfectly in consonance with its theme. The lighting conditions dip from bright to dark as the trial unfolds, depicting its gloominess. When was the last time an Indian film excelled so well in visual storytelling? Bravo!Vira Sathidar portrays Narayan Kamble impeccably.It's hard to believe he is a non-actor, as are all other characters. Sambhaji Bhagat's invigorating vocals bring a huge difference to his act. I am not sure if radical songs can instigate someone to commit suicide. But they certainly have enough vigour to make you adore them, just as they add to the film's advantage.Court effortlessly manifests that hardcore realism can serve as an engaging experience. No wonder it is indisputably the best debut of the times and Tamhane gets everything right, something that is sure to leave many of his contemporaries as well as seasoned filmmakers in awe. Films like this make me believe that the resurgence of Marathi cinema is truly a thing of reality. If anything, resurgence at its staggering best.]"
3,"[The Green Hornet was a radio show back in 1930s, which later translated into a comic book series, a television series and now a movie. When a concept has been working well for the audiences in so many variants for decades, you'd think its real hard to screw that up now with all the technology at your disposal. This film almost manages to amaze you by doing just that. 'Almost' being the key-word here, as its still a good fun-filled mindless action movie, but nowhere near as awesome as the other forms of the franchise. After The Incredibles, there have been plenty of flicks that have experimented with the superhero concept. Some have been successful (Kick-Ass, Megamind, etc) while others have miserably failed (Epic Movie, Underdog, etc). The Green Hornet lies somewhere in between because it has Seth Rogen as Brett Reid, a.k.a The Green Hornet, as the egocentric cocky billionaire with daddy issues and a hero complex (sounds familiar?) who fits into your pop-culture superhero perfectly; and on the other hand you have Jay Chou as Kato, his faithful partner, who does all the hard-work from kicking the bad guys to building weapons, cars, coffee-machines, pretty much everything as if he was born to be a superhero. An idiot with a big mouth and a kung-fu god, has been a trusted formula for success but it falls a little short for this film. A very mundane screenplay and under-utilization of the actors is to blame.Seth Rogen is the lead actor, writer and producer for the film. And with great power, comes greater screen-time. He is all over the movie. I like Seth Rogen, I do, but when you have an immensely talented actor like Christoph Waltz and a looker like Cameron Diaz on your team, you ought to give them time to shine too. Cameron is totally wasted in the film with very little screen time for her to do anything meaningful. She makes most of what she's got though. Christoph Waltz is the reason, I insist you watch the film rather than just let it go. The guy is a powerhouse of talent. He's done an excellent job at being the self-conscious psychopathic crime boss. For me, the most memorable scene of the movie is between him and James Franco in his cameo (another very talented guy). If only James had a longer role, this movie would have done wonders. Jay Chou had Bruce Lee's shoes to fill in, who played Kato in the television series. Needless to say they are pretty-darn big and near impossible shoes to fill in. He does a respectable job though, and is awesome in action sequences. But I'm so not a fan of the red-eye thing they've inserted in every action sequence. Sometimes technology works against you. Michel Gondry (director) could have done a much better job. Music score of the film is great. Soundtrack had many songs I grew up listening to.Its a good action flick with enough comic moments to satisfy you. But has nothing much to remember it by. Watch on DVD for sure.]"
4,"[A Bhatt film starring Emraan Hashmi can pique your interest only so much. After what we can call a typical start to a Bhatt-thriller, comes the typical death and inevitable resurrection/revival. The mumbo-jumbo is different, but outcome typical. What is atypical though is the resolution. It makes you sit up and notice, if you have been paying attention thus far, that is. It doesn't help that the actors all seem to be going through the motions rather than emotions. It must be said though that the lead lady's character gets a bit more to do here than your typical film in this genre. The story winds and unwinds way too much in the second half. It is almost as if the intriguing climax was the goal. The events leading up to it had to be convincing given the maze of characters and their motivations. So, whatever it took to get to that end given the constraints was done. On the way you have some decent use of CGI, though I'd have liked to see it in 2D. The prosthetics are pretty awful, the kind that makes you laugh rather than gross you out. At the end, I was a little surprised and a little disappointed. Given the dilemma and the conclusion thereof, the concept deserved better screenplay and writing. Should I be happy then that there seems to be a series on the way? ;)]"
5,"[Young adulthood, experimenting with one's sexuality, being comfortable with one's selfishness because that is good for you, relentlessness of life, society's attitude towards homosexuality, dealing with death, and of course society's juggle between harmful over-sensitivity and insensitivity towards differently-abled people - these are some of the themes that Margarita With A Straw touches upon. Each of these make for a film by itself. Usually, a movie that tries to achieve all of this falls flat because it ends up being all over the place. Margarita With A Straw manages to tie it in all together, even if just barely. That in itself is an achievement, other than the fact that it even dares to touch upon so many topics that remain largely untouched by Hindi films. Here's a confused yet composed character who is at most times sure of what she wants and finds one way or the other to get it - even if it is a way of resolving her confusion. She could teach us a lesson or two in accepting and loving ourselves with our flaws. Oh and she happens to suffer from cerebral palsy. She is an inspiration not only because of her disability, but because she is as normal as it gets. She is mean when she has to be, manipulative as necessary and generally a warm and cool person - Laila (Kalki Koechlin). I am grateful to the writers, makers and actors for not making Laila an ideal, sacchrine person who we are compelled to like - as in you will be judged if you don't like her. Instead she is a person as grey as you and I. On the other hand, I always struggle with films that I find myself being thankful to for things they did not do. Isn't creating a multi-layered protagonist what a writer supposed to do? Setting that aside, that I sensed all these layers without it necessarily being spelt out for me says it all as far as Kalki Koechlin's performance goes. Within a few minutes you start seeing Laila as a person beyond her disability. Can there be a better compliment for an actor who is playing a character with a disability, a developmental disability at that? Each of the other characters are played by equally strong actors. Though they aren't written as strongly. For example, Revathi who plays Laila's mom plays it too cool for an Indian parent. If she is indeed a cool mom, that doesn't show through her character, but is something you have to accept because you are told so. In comparison, her father seems to be a more liberal parent of the two. Similarly, Laila's lady friend, Khanoum (Sayani Gupta) gets a rather flat treatment after the initial intrigue she creates. And yet, these seem mere niggles in the broader space the film tries to encompass. It is indeed a challenge to get through talking about such topics, each one more important than the next, without being preachy. This one too slips into a ""lesson"" mode for a moment or so reminding you that it is a film. Even so, the film seems like it needed to be made. And it needs to be watched.Margarita With A Straw is a statement on behalf the world's largest minority as Maysoon Zayid who suffers from Cerebral Palsy and calls it one of her 99 problems points out in her TED talk. They want to be disassociated from their disability. They want to create an identity that is separate from their disability. Like Maysoon, palsy is just one of the problems Laila has. Similarly, Margarita With A Straw is simply amazing at the number of things it tries to achieve. Then again, just like it is wrong, at many levels, to reward a person because of their disability, would it be right to award points to a film because it is about a disabled person or the n other topics it touches upon? The related conundrum is do you take away points just because you don't want to be going wrong at many levels? That the question arises itself is testimony enough that Margarita With A Straw leaves a bit amiss.I can complain about not being touched deep within or I can feel happy that it didn't try to manipulate my emotions while having such a bait at its disposal and more. But, one thing it certainly is not is underwhelming. Now or later, in theaters or when its out elsewhere - do watch it! And legally, please. ]"
6,"[A strong idea and great story certainly play a big part in a fine film. But these alone cannot ascertain the quality of one. A good motion picture (or anything good for that matter) is rarely a coincidence. It's rather the fruition of gripping vision and decisive execution, besides loads of other factors in varying degrees. Of course, there can be exceptions. Sometimes a story fascinates you so much so that its weaknesses hardly make a difference. Such an exception cannot be made for Kranti Redkar's debut feature Kaakan however.Split over two different periods unfolds the heart-warming tale of romance, faith and companionship. But surprisingly, this isn't Kisu and Sudhamati's story alone in the first place. It is as much the story of other principal or trivial characters. Each one of them has their own story to tell and each story could be a standalone movie. Every now and then Redkar brings forth  some sort of background story to these characters. This is done to bring in a poignant touch and make you empathize with them - nothing of the sort ensues though.Since each character emerges hero and their stories heroic, subplots tend to distract your interest from the main drama at times. The problem here is that the whole thing is spoon-fed through redundant dialogue. The director prefers informative tricks over visual impact, taking the easy way out. With little narrative novelty, the screenplay lacks subtlety and insights. Logical connections to certain events as well as sequences overlook deliberate thinking.Kaakan is a beguiling idea, but sadly that remains only at a basic level. It is riddled with endless loopholes and mediocrity. But the problem doesn't end here. Rather it starts off from there, ultimately floundering in what it sets out to do.Jitendra Joshi's bogeyman image among kids sounds funny, but poor characterisation ensures that you feel nothing about his worsened conditions. Even so, young Kisu is far more stirring and impressive than the older one. The outcome of flawed direction, he suffers from inconsistent portrayal, as does Urmila Kanitkar's Sudhamati or Ashutosh Gaikwad's Gopi. Though not directional masterpiece, the scenes involving Joshi and Kanitkar are compelling than the whole film itself. Rest of it highlights Redkar's negligent approach. Over the period; the characters age, but their props don't - be it Sudhamati's ribbon or kaakan or even the inside of the tin. By the looks of it, Kisu seems to have had his special haircut and makeup done. Sloppiness in hair &amp; makeup is as much a concern as is its writing and visualization.The music though stands really strong when everything else fails. It intensifies the film to a point, until its overuse fades the dominance away in the longer run. Foley sound effects and  faulty dubbing add to growing failings, making it technically weak. Not that it's an offence to make another love story along standard lines. But one should at least be mindful of where and when to draw the line. Not only does Kranti Redkar fail miserably in the writing department, but she also comes across as totally clueless wearing the director's hat.]"
7,"[The movie opens with a man standing in the middle of a lush green farm. And when you realize he is going to commit suicide, the contrast between the rich field and the poor man hits you like a bolt. No people, this is not a spoiler, it's a true life story. It's the story of over 150000 farmers who've killed themselves. We've already read about it in the newspapers. But now that we have a visual it will stay with us for a while.Another contrast strikes when this scene cuts to three men behaving like boys. Arrogant and ""kewl"", Carefree and irresponsible, wannabe and dependent (Sikandar, Arjan Bajwa, and Alekh Sangal). Yes, the characters of the three friends are defined in these 5 minutes. Similarly, the two lead women, one an epitome of all things motherly, the other almost the exact opposite are etched out for us in the next 10 minutes (Gul Panag and Uvika Choudhary). Later, when we are introduced to the village doctor (Ashutosh Rana) too, we can sense how despite his helplessness, he's trying to help in the best possible manner. Most of the credit for these clear definitions goes to the writing. The casual and aptly light lines in the beginning are of course done justice to by their delivery. But, somehow, there is a heavy tinge of artificiality in the performances except for those by Gul and Ashutosh. Gul is the cute momly figure we love to annoy and has a breathtakingly well-performed scene in the last half hour. Ashutosh Rana's performance shows a new facet of his talent. It is refreshing to see him in a non-villainous, soft role. Again kudos to some well-written scenes. The transformation of these city based, hip, largely insensitive youngsters into working towards to a cause happens gradually and not ungrudgingly. However, all's not well as far as writing is concerned too. Uvika's and Alekh's roles are underwritten and lack depth after the initial exposition. Their motivations are not clear and because of that, I got the feel that maybe the movie could've done without them. Also the movie could have saved precious 20 odd minutes by keeping the absolutely dispensable songs out - both in terms of the music itself, and the way they are picturised. I could also make observations about things like Sikandar's cringed nose and squinted eyes. But, I would then lose focus on what the movie is trying to aim at. One would be absolutely right to say that none of the departments of film-making seem to have been delved into 100% - be it writing, acting, or other technical aspects like camerawork or editing. But, full marks at attempting to describe the complex issues involved in the farmer suicides. Yes, there are a whole load of sub-plots, but each one shows a different link in the chain of events that leads to the ultimate breakdown of the farmer who grows us our daily rice and dal (lentil curry). At many points in the movie, I was wondering why is this movie being targeted towards the multiplex audience when the issues they are trying to resolve are situated in a land far, far away. And that is THE point. It is aimed towards me and you, browsing the net looking for reviews of the latest release. It is to sensitize us to what's happening out there or rather in there, in the interiors of the country. It doesn't offer any earth-shattering, practical solutions. In fact it alludes to the fact that we are intelligent people out here. Why don't we do something? What? How? When? That's for us to figure out. They have given us the why. Maybe one of the solutions is to have us do rural training as a part of our education - why only medical students? Engineers, managers, accountants, artists can contribute too. Is it that farfetched? It's not that impossible to reach out to our sensitivity, is it? Of course, the going is hardly going to be easy. The most righteous of us will be wronged, but the most unsympathetic can also be made human.I am thrilled. Thrilled that new things are being tried in Hindi cinema. Be it, the narrative style in Aamir or the most abstract use of metaphor in No Smoking or a theme that moviemakers wouldn't dare touch with a yardstick like in Summer 2007. All of them have commercial doom written all over them. And not just because of the way they are made, but I'm sure even on paper, the people involved knew very well that it's not going to make moolah. But, it is their urge to tell their story that brings these stories to us. Of course, I would be even more thrilled if Aamir and Summer 2007 did well at the box office. But I'm glad that the unlikelihood of financial success didn't keep the movies from being made. And at the very least Summer 2007 serves as documentation of how things were in India in the '00s and how we reacted to them.]"
8,"[You wait for the plot to thicken or a twist that will be different from what you expect. But, it doesn't quite happen. So, you end up admiring the attempt at creating the era of the 40s. I also found myself marveling at the fact that the project didn't get YRiF-ied. But, the thriller by itself is hardly edge-of-seat material.So, maybe, not all thrillers need to keep you tense through the run-time. But, you need something to look forward to, especially when you have guessed whodunnit in the character's first appearance on screen. I was hoping to clap with glee to find out I was wrong and at the same time could hear myself say, ""No chance!"" Unfortunately, the latter part of me won. Fortunately, while I waited then for the inevitable reveal, there was quite a bit I could distract myself with. Maybe it is just our need for something different, but the old-world indeed has its own charm. The rusty, rugged ""reality"". Sure, a lot of attention to detail. But every once in a while, you are jolted out of the era, whether it be a bold sexual attempt by a lady or music that is a tad too modern. The performances though keep you steadfast, willing you to see the film through to the end. Neeraj Kabi holds your interest from the beginning. And so does Swastika Mukherjee, even if it is forceful titillatio, she's there to do a job and she does it well. Sushant Singh Rajput, of course, fits the bill perfectly. As he gets excited by the mystery, disappointed when he doesn't ""get it"", grossed out at different points in the film, you know his character, Byomkesh Bakshy just a bit more. This is as important as the mystery itself - knowing the investigator, your protagonist. Especially, if the writers are aspiring to turn this into a series, which they clearly are. Byomkesh Bakshy, the character does create enough interest for you to want to watch his next adventure, even if the first one by itself wasn't enticing. Dibaker Banerjee scored alright then, didn't he? You want to watch the next one, even though the first one leaves you underwhelmed. ]"
9,"[This is probably one of the most-hyped Marathi films of the year after Ravi Jadhav's Timepass 2 and understandably so. After all, not every other film gets presented by such a bankable name. That's the lone reason I kept my fingers crossed hoping to find something engaging in a seemingly done-to-death, over-dramatized. This also perhaps motivates you to watch the film - in case you feel let down by its  trailer. Not to my surprise, he is not the only instrumental force here. A slightly fresh perspective - though not utterly mature - strings together glimpses of writing brilliance with glistering visual aesthetics, adjudging director Prakash Kunte's rom-com a force to reckon with.Both Rege (another Ravi Jadhav presentation) and Coffee Ani Barach Kahi looked abysmal prior to their releases, all thanks to bewildering marketing. Trailers of these two take great amount of pains to appear outright conventional (presumably to hold in your expectations), yet the films themselves merit as distinctive and highly enjoyable. The misleading promotions are predictable and have sugarcoated narrative layers.Jaai, the film's female lead character is perplexing. A software engineer by profession, she comes out as an out-and-out confident, independent, modern woman. A weird-sounding, old song set as her phone's ringtone or Puneri one-liners written on her bedroom wall or even her choice of clothes deem her a free-spirited, ferocious personality. And she does appear rattlingly fierce during her encounter with a prospective groom, a childhood friend.Her parents sound exceedingly supportive, if gags about the endless affairs of Jaai's younger sister are anything to go by. Strangely enough, she looks baffled and timid when they question her relationship status. Her bluntness, at other times, certainly raises conflicting images. The world around her is so mature that her complications emerge as infantile, something this prospective groom points out eventually. The issues of inconsistent portrayal don't haunt just her character however; the film is full of them.Similar to other girl-meets-boy stories, this film is not devoid of a customary world - where Jaai and Nishad are surrounded by characters that pass on philosophical thoughts in order to help them be soulmates.  But you see, that's not the point here - predictability is sure going to drive the plot somewhere or the other.Coffee Ani Barach Kahi has the timely infusion of philosophy saddled with remarkably playful dialogues. I don't remember the last time a Marathi film had conversations so bubbly, yet so persuasive. At times, these thoughtfully-written words guide the narrative in an astoundingly nuanced, unpretentious style. Not to mention soulful poetries put the message across without being overbearingly sentimental or hindering the film's narrative flow.This is a rom-com, which clearly shows the way without a dance sequence along beachsides. That said, it doesn't shy away from cliches. This is where such an effortless work becomes laborious and ineffective.Sure, this film is no stunner. It freezes as an unfulfilling one, despite its platter of intriguing elements as indicated by its title. Nonetheless, it is so beautiful and honest in its endeavor that the whole, so-called conservative approach appears trivial.]"
